0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
69854.0,66212.0,67096.0,69213.0,64682.0,71767.0,67855.0,67660.0,66107.0,67462.0,67985.0,65210.0,69571.0,67007.0,66796.0,62689.0,64455.0,70502.0,64104.0,69461.0,68153.0,67157.0,63620.0,68181.0,70931.0,64625.0,67798.0,75101.0,62446.0,65997.0,63933.0,62885.0,65645.0,70591.0,64492.0,66316.0,66402.0,70146.0,60956.0,63416.0,68070.0,64254.0,68179.0,67221.0,67459.0,64461.0,67664.0,75129.0,65959.0,63687.0,67063.0,70359.0,69048.0,63734.0,70677.0,65238.0,67981.0,70156.0,66048.0,66440.0,73971.0,67655.0,69421.0,69520.0,73271.0,67312.0,67567.0,62632.0,62296.0,69594.0,66773.0,66291.0,62626.0,66493.0,69093.0,67912.0,67491.0,73367.0,65059.0,67569.0,65197.0,65524.0,68261.0,67516.0,66020.0,67690.0,64622.0,66202.0,64083.0,73679.0,71500.0,71390.0,71701.0,71280.0,63516.0,66879.0,67991.0,67241.0,66443.0,65221.0
61374.0,67894.0,68013.0,67376.0,61814.0,69647.0,66909.0,63312.0,64640.0,65067.0,64965.0,65164.0,71692.0,63343.0,63152.0,62192.0,63294.0,65643.0,66334.0,65999.0,67280.0,62107.0,66177.0,68791.0,69052.0,65258.0,69064.0,72438.0,63906.0,64268.0,70593.0,64423.0,63461.0,73135.0,63887.0,66690.0,67917.0,62434.0,64897.0,66471.0,67560.0,69303.0,65062.0,68341.0,67730.0,67749.0,66774.0,75769.0,66394.0,61753.0,71639.0,68101.0,66235.0,63888.0,70788.0,69058.0,64923.0,67995.0,64458.0,71801.0,69948.0,59189.0,69059.0,72306.0,69277.0,63146.0,64696.0,64084.0,65019.0,62053.0,63412.0,66639.0,66876.0,65498.0,66189.0,68885.0,70687.0,79182.0,64300.0,72583.0,66486.0,64327.0,69117.0,69427.0,64590.0,65187.0,65553.0,64920.0,63610.0,69557.0,72699.0,64785.0,69902.0,66119.0,64106.0,64637.0,66692.0,67849.0,65002.0,64510.0
60651.0,63487.0,67394.0,70683.0,64122.0,69519.0,68180.0,64772.0,66699.0,62348.0,64621.0,71738.0,70752.0,68308.0,65983.0,58761.0,67389.0,74494.0,66435.0,59106.0,61551.0,61789.0,60673.0,67771.0,66304.0,62978.0,68917.0,63692.0,69000.0,63908.0,66623.0,67796.0,67272.0,71326.0,65506.0,66420.0,70981.0,68201.0,64665.0,66519.0,67485.0,71108.0,65579.0,65752.0,61233.0,65209.0,65244.0,75121.0,64591.0,64992.0,65699.0,68472.0,64022.0,65970.0,64432.0,66300.0,68013.0,67710.0,64584.0,72550.0,67582.0,62437.0,68376.0,67086.0,67021.0,64260.0,67069.0,64784.0,61444.0,62297.0,63557.0,63938.0,65702.0,68646.0,66713.0,70347.0,67422.0,66099.0,62952.0,65933.0,61174.0,63224.0,70380.0,63565.0,66023.0,65773.0,60913.0,66546.0,69920.0,69567.0,71834.0,67398.0,64146.0,63703.0,64777.0,66776.0,63264.0,65584.0,69342.0,63024.0
58984.0,61375.0,70580.0,68199.0,65694.0,64967.0,70186.0,63060.0,65030.0,63141.0,60027.0,65765.0,67147.0,65186.0,65623.0,63475.0,65540.0,65731.0,63099.0,65198.0,61757.0,68104.0,65233.0,68830.0,62009.0,66616.0,70166.0,67388.0,66253.0,66249.0,66010.0,69504.0,67357.0,73962.0,64322.0,66387.0,65567.0,62117.0,63466.0,68935.0,69548.0,65892.0,62602.0,67335.0,69200.0,64653.0,66921.0,65400.0,63699.0,63574.0,66037.0,65774.0,62670.0,62231.0,68065.0,69511.0,66621.0,65689.0,66374.0,64439.0,68607.0,58716.0,66822.0,67431.0,65238.0,66269.0,70477.0,67409.0,64494.0,62634.0,64071.0,66430.0,64578.0,64738.0,68373.0,67557.0,72197.0,69053.0,62234.0,68813.0,65858.0,66169.0,75151.0,62178.0,66245.0,63384.0,64305.0,64195.0,65870.0,67595.0,68294.0,70387.0,63216.0,67502.0,66690.0,66147.0,72042.0,66669.0,64318.0,64155.0
67967.0,63287.0,66360.0,67510.0,65833.0,67413.0,64356.0,70192.0,63942.0,64846.0,62832.0,64644.0,61704.0,63850.0,66175.0,68519.0,60904.0,67206.0,67586.0,59159.0,62386.0,61368.0,64528.0,72362.0,64095.0,62699.0,78577.0,69081.0,63894.0,66788.0,67529.0,60959.0,67602.0,72113.0,63298.0,67265.0,67589.0,64087.0,67273.0,63956.0,66123.0,64700.0,64877.0,62053.0,63935.0,64440.0,64846.0,68930.0,61815.0,64391.0,67425.0,70293.0,62101.0,65377.0,70529.0,71018.0,69227.0,63685.0,65602.0,64322.0,68809.0,62806.0,67698.0,67594.0,68741.0,68634.0,74440.0,64247.0,66491.0,63222.0,68409.0,66003.0,62070.0,64162.0,66718.0,71343.0,69363.0,62731.0,61556.0,75546.0,59676.0,62839.0,75068.0,60407.0,61893.0,60734.0,63470.0,65443.0,60341.0,67334.0,62734.0,72722.0,67130.0,68015.0,65891.0,65863.0,68246.0,65556.0,60172.0,59713.0
58831.0,67228.0,64945.0,64451.0,68248.0,70813.0,64667.0,59404.0,62288.0,65417.0,59717.0,65321.0,64620.0,63910.0,65261.0,61306.0,62204.0,67090.0,66696.0,65205.0,60862.0,59853.0,61349.0,67549.0,66822.0,65648.0,76043.0,68637.0,64040.0,66150.0,70274.0,63865.0,69394.0,65540.0,60908.0,61581.0,64641.0,65448.0,61775.0,62949.0,66408.0,66341.0,65222.0,67643.0,63808.0,62826.0,64885.0,72487.0,62995.0,63790.0,63601.0,60996.0,59703.0,63575.0,69659.0,65862.0,63334.0,67286.0,65400.0,64226.0,72559.0,61561.0,67949.0,70619.0,59692.0,63595.0,68546.0,67185.0,61042.0,63525.0,63971.0,68136.0,62840.0,66242.0,65969.0,64665.0,64323.0,64315.0,64435.0,67127.0,63580.0,64956.0,71047.0,61715.0,59538.0,59913.0,61388.0,60519.0,64967.0,68440.0,62605.0,66843.0,61957.0,61983.0,63913.0,66057.0,62684.0,66329.0,64412.0,61347.0
59754.0,64933.0,65045.0,66775.0,65222.0,62822.0,64163.0,62609.0,60860.0,68467.0,62971.0,64957.0,59493.0,62245.0,61884.0,61081.0,63197.0,68622.0,65965.0,63884.0,61767.0,58454.0,63229.0,69374.0,64221.0,69271.0,75996.0,66184.0,63063.0,72742.0,68493.0,66186.0,66853.0,65313.0,59123.0,66587.0,66897.0,69801.0,68660.0,59595.0,61865.0,69138.0,62764.0,66710.0,63615.0,63333.0,63346.0,69017.0,60776.0,63301.0,63022.0,61821.0,62070.0,65524.0,64801.0,65106.0,67929.0,67138.0,66416.0,62670.0,65904.0,59177.0,65899.0,70723.0,65094.0,65787.0,69931.0,65455.0,62818.0,64639.0,60705.0,67442.0,60015.0,65325.0,69444.0,63734.0,67711.0,60329.0,61999.0,68929.0,67297.0,59737.0,66918.0,63715.0,59948.0,60341.0,59566.0,60380.0,62269.0,62575.0,64904.0,65577.0,67683.0,60280.0,65113.0,66573.0,67391.0,64368.0,64955.0,59455.0
60821.0,64161.0,65895.0,59988.0,61108.0,69230.0,63850.0,71369.0,64858.0,66267.0,66822.0,62549.0,62442.0,61272.0,60329.0,59152.0,61170.0,62312.0,64501.0,62489.0,61346.0,60737.0,59152.0,62418.0,61483.0,63053.0,66577.0,68399.0,68186.0,68201.0,65488.0,69095.0,66056.0,62121.0,60489.0,64118.0,66382.0,64704.0,60057.0,60014.0,61494.0,65929.0,61356.0,69699.0,61881.0,65480.0,63440.0,64005.0,61378.0,62019.0,69438.0,62390.0,64838.0,60284.0,65327.0,63864.0,69387.0,64730.0,61633.0,63969.0,67762.0,59855.0,66298.0,67987.0,59650.0,68032.0,71335.0,63147.0,62950.0,63177.0,61299.0,71159.0,66600.0,69035.0,67561.0,63406.0,68711.0,62694.0,67085.0,68773.0,64261.0,63910.0,73309.0,66112.0,64899.0,62933.0,64163.0,63503.0,63800.0,62536.0,64129.0,69196.0,62250.0,61306.0,64999.0,66276.0,67520.0,63107.0,59807.0,59130.0
60041.0,61433.0,67998.0,65157.0,65267.0,65430.0,67014.0,60814.0,64227.0,60894.0,63138.0,64249.0,60737.0,61931.0,59953.0,59878.0,62331.0,66884.0,66876.0,67554.0,61040.0,58349.0,64460.0,67303.0,65893.0,65078.0,70241.0,68040.0,62414.0,65572.0,62261.0,62419.0,68505.0,61578.0,63867.0,68704.0,69301.0,69108.0,59713.0,60146.0,61130.0,61832.0,63522.0,68785.0,60746.0,63443.0,67239.0,67176.0,59857.0,62153.0,66224.0,63827.0,58882.0,62099.0,63756.0,67438.0,66567.0,67543.0,61805.0,61176.0,70289.0,60178.0,67008.0,67386.0,59333.0,61480.0,71898.0,62872.0,61482.0,61113.0,65335.0,67662.0,62246.0,67898.0,69249.0,65305.0,70734.0,67084.0,66953.0,66963.0,63904.0,62077.0,67129.0,59714.0,62360.0,60418.0,59391.0,59487.0,59733.0,71065.0,60986.0,63759.0,60057.0,63464.0,64145.0,66407.0,64900.0,70962.0,63091.0,59506.0
59578.0,63715.0,63893.0,65465.0,62497.0,61267.0,63841.0,64924.0,62674.0,64542.0,64455.0,60334.0,59472.0,62305.0,59710.0,60373.0,65580.0,68671.0,63039.0,66628.0,64874.0,61643.0,59663.0,67781.0,61537.0,64167.0,75401.0,67326.0,59487.0,70724.0,66389.0,66925.0,65149.0,62852.0,60303.0,67998.0,65454.0,70620.0,61602.0,59014.0,62295.0,68605.0,65728.0,69246.0,59045.0,63181.0,62445.0,67111.0,61216.0,65170.0,72012.0,60771.0,61897.0,63794.0,60182.0,62571.0,68588.0,66380.0,61353.0,61742.0,72552.0,64243.0,63247.0,66869.0,60092.0,61561.0,67766.0,63596.0,64610.0,59504.0,59941.0,62109.0,64160.0,58967.0,66247.0,65141.0,67985.0,60375.0,64887.0,69759.0,67479.0,68607.0,69628.0,63196.0,61453.0,59414.0,59236.0,59670.0,60915.0,62138.0,63969.0,68374.0,65437.0,60402.0,61325.0,70200.0,63778.0,71428.0,65920.0,61741.0
